iter	Logloss
0	0.6203500657
1	0.5655992095
2	0.5101830384
3	0.4622996903
4	0.4251494185
5	0.3909171767
6	0.3638477409
7	0.3442496726
8	0.3215486085
9	0.3023113989
10	0.2869631064
11	0.2709060659
12	0.2576987751
13	0.2473506231
14	0.2371836561
15	0.2288847316
16	0.2220767437
17	0.2148778486
18	0.2095508816
19	0.2060337335
20	0.2016464123
21	0.1988670974
22	0.19672611
23	0.1934409518
24	0.190051128
25	0.1872417314
26	0.185106687
27	0.1825369928
28	0.1804124623
29	0.178455547
30	0.1776352217
31	0.1755943243
32	0.1743823531
33	0.1729675344
34	0.1715009974
35	0.1700998764
36	0.1686774363
37	0.1676205934
38	0.1667600888
39	0.1658363225
40	0.1647532347
41	0.1640740115
42	0.1633293658
43	0.1627279333
44	0.1621381517
45	0.1615514679
46	0.1606219214
47	0.1601358043
48	0.1595629993
49	0.1588193966
50	0.158413645
51	0.1577477665
52	0.1572975755
53	0.1570569752
54	0.156433254
55	0.1559381044
56	0.1555400089
57	0.1552383233
58	0.1547526227
59	0.1541515861
60	0.1539360183
61	0.1534067162
62	0.1531614866
63	0.1528343586
64	0.1526077111
65	0.151971199
66	0.1516637009
67	0.1510970777
68	0.1506906088
69	0.1505045704
70	0.1499375089
71	0.1496667052
72	0.1490835327
73	0.148809383
74	0.1486191695
75	0.1484638431
76	0.1482568564
77	0.1476631538
78	0.147396051
79	0.147177943
80	0.1470512479
81	0.1468532109
82	0.146539459
83	0.1461686345
84	0.1459947245
85	0.1456856433
86	0.1453907996
87	0.1452887471
88	0.1450470355
89	0.1448750944
90	0.144582311
91	0.1444097926
92	0.1442633743
93	0.1440370038
94	0.1437342367
95	0.1435732678
96	0.1434270758
97	0.1431483877
98	0.1428509993
99	0.1424840806
100	0.1422579812
101	0.1421377736
102	0.1419498615
103	0.1417442803
104	0.141559782
105	0.1412904521
106	0.1411072795
107	0.1408086184
108	0.1405556528
109	0.1404327695
110	0.1403251429
111	0.1401206714
112	0.1400375538
113	0.139866237
114	0.1397582349
115	0.1396602191
116	0.1396494905
117	0.1394651396
118	0.1393100385
119	0.1389964761
120	0.1389197816
121	0.1387599409
122	0.1386281107
123	0.1385611134
124	0.1384268621
125	0.138315871
126	0.1382535843
127	0.1381040516
128	0.1380328961
129	0.1378347843
130	0.1377467955
131	0.137697009
132	0.1375405013
133	0.1373776741
134	0.1373007148
135	0.1371670683
136	0.1369704217
137	0.1368220747
138	0.1367679269
139	0.1366849369
140	0.1365353724
141	0.1363642774
142	0.1361668154
143	0.135930413
144	0.1357953238
145	0.1356031134
146	0.1353315243
147	0.135153973
148	0.1349264479
149	0.1348187592
150	0.1347532574
151	0.1346046726
152	0.1344065554
153	0.1342959701
154	0.1342019849
155	0.1341269485
156	0.1339957475
157	0.13386054
158	0.1337820012
159	0.1336830878
160	0.1334885147
161	0.1334016919
162	0.1332596164
163	0.133111453
164	0.1329457061
165	0.1327608637
166	0.1326397236
167	0.132523367
168	0.1324727828
169	0.1323647759
170	0.1322192267
171	0.1320866383
172	0.1320035105
173	0.1318211728
174	0.1315726633
175	0.1313990176
176	0.1311377787
177	0.1310176997
178	0.1309168188
179	0.130700306
180	0.1305788848
181	0.1305450027
182	0.130503126
183	0.1304540111
184	0.1303660653
185	0.1302200205
186	0.1301583478
187	0.1300177251
188	0.1298852278
189	0.1297972366
190	0.1296614431
191	0.129438617
192	0.1292671474
193	0.1291816073
194	0.1291077476
195	0.1290285838
196	0.1288825021
197	0.1287781843
198	0.1287107093
199	0.1285818629
