iter	Passed	Remaining
0	10	2035
1	16	1601
2	21	1443
3	28	1378
4	36	1436
5	43	1403
6	49	1354
7	55	1331
8	62	1322
9	72	1368
10	80	1380
11	87	1376
12	95	1376
13	106	1412
14	113	1404
15	121	1401
16	129	1394
17	141	1428
18	147	1406
19	154	1387
20	161	1372
21	168	1365
22	175	1349
23	182	1339
24	189	1326
25	196	1313
26	203	1303
27	210	1292
28	217	1279
29	224	1270
30	230	1256
31	236	1243
32	243	1233
33	251	1227
34	259	1222
35	267	1216
36	274	1208
37	281	1199
38	289	1193
39	296	1184
40	302	1174
41	309	1164
42	316	1156
43	323	1146
44	332	1146
45	339	1135
46	346	1127
47	352	1116
48	359	1108
49	367	1103
50	375	1097
51	383	1090
52	390	1082
53	397	1074
54	404	1066
55	411	1057
56	418	1050
57	425	1041
58	432	1033
59	438	1024
60	444	1013
61	451	1005
62	459	999
63	466	991
64	473	984
65	481	977
66	489	972
67	497	965
68	504	958
69	511	950
70	518	941
71	525	935
72	532	925
73	538	916
74	544	907
75	551	899
76	558	892
77	564	882
78	570	874
79	577	866
80	585	860
81	591	851
82	598	843
83	605	836
84	611	826
85	619	821
86	626	813
87	633	806
88	640	799
89	646	790
90	655	784
91	661	776
92	669	769
93	675	762
94	683	755
95	689	747
96	696	739
97	703	731
98	709	724
99	717	717
100	723	709
101	730	701
102	736	693
103	743	686
104	750	679
105	757	672
106	765	664
107	772	658
108	781	652
109	788	644
110	795	637
111	802	630
112	810	624
113	818	617
114	825	610
115	832	603
116	837	594
117	845	587
118	852	580
119	858	572
120	865	565
121	872	558
122	880	551
123	886	543
124	893	536
125	900	528
126	907	521
127	914	514
128	921	506
129	928	500
130	935	492
131	942	485
132	948	477
133	955	470
134	963	463
135	971	457
136	978	449
137	986	443
138	992	435
139	1000	428
140	1007	421
141	1013	413
142	1020	406
143	1027	399
144	1035	392
145	1043	385
146	1049	378
147	1055	370
148	1062	363
149	1071	357
150	1078	349
151	1086	343
152	1093	335
153	1101	328
154	1108	321
155	1115	314
156	1124	307
157	1131	300
158	1139	293
159	1145	286
160	1153	279
161	1161	272
162	1168	265
163	1176	258
164	1183	251
165	1190	243
166	1198	236
167	1205	229
168	1211	222
169	1218	215
170	1226	207
171	1232	200
172	1238	193
173	1244	185
174	1251	178
175	1257	171
176	1264	164
177	1271	157
178	1277	149
179	1284	142
180	1292	135
181	1299	128
182	1305	121
183	1311	114
184	1319	106
185	1325	99
186	1332	92
187	1338	85
188	1345	78
189	1352	71
190	1359	64
191	1366	56
192	1372	49
193	1378	42
194	1385	35
195	1391	28
196	1398	21
197	1404	14
198	1412	7
199	1418	0
